applicant_id,age,gender,marital_status,num_dependents,education_level,state,residence_type,employment_type,work_experience_years,monthly_income_inr,bank_balance_avg_3m_inr,savings_rate_pct,upi_monthly_txn_count,upi_monthly_txn_value_inr,mobile_bill_ontime_pct,utility_bill_ontime_pct,gst_filed_regularly,credit_history_months,num_credit_accounts,has_credit_card,has_secured_loan,credit_mix_score,credit_utilization_pct,num_hard_inquiries_12m,num_missed_payments_24m,num_defaults,existing_active_loans,loan_purpose,loan_amount_requested_inr,loan_tenure_months,estimated_emi_inr,debt_to_income_ratio,credit_score,interest_rate_pct,loan_decision
BC00001,59,Female,Married,0,Secondary,Delhi,Owned,Business Owner,13,56142,25791,7.1,28,82254,93.0,88.5,0,6,11,1,1,3,44.7,1,0,1,5,Personal Loan,2264178,12,199901,4.006,666,14.38,Rejected
BC00002,49,Male,Married,3,Higher Secondary,Karnataka,Rented,Salaried,1,161614,56312,21.6,41,115399,43.9,95.4,-1,28,2,1,1,2,43.7,3,0,0,3,Personal Loan,124804,60,2701,0.11,779,10.84,Approved
BC00003,35,Male,Single,3,Post Graduate,West Bengal,Owned,Freelancer,3,70276,43633,37.8,41,83638,72.6,78.0,-1,35,14,0,1,2,51.4,3,3,1,0,Home Loan,3707390,60,80238,1.142,558,22.88,Rejected
BC00004,63,Male,Single,2,Higher Secondary,Telangana,Rented,Business Owner,7,354006,282864,19.0,40,481073,78.7,93.2,1,25,3,0,1,2,13.2,1,0,0,2,Business Loan,3026877,240,30832,0.115,843,8.53,Approved
BC00005,28,Female,Married,1,Below Secondary,Madhya Pradesh,Rented,Salaried,5,84353,244757,10.0,32,44155,56.5,62.8,-1,15,11,1,0,2,23.0,2,5,1,2,Vehicle Loan,3839514,12,338985,4.137,580,18.23,Rejected
BC00006,41,Male,Married,0,Secondary,Delhi,Rented,Salaried,9,138132,204336,3.4,39,205959,84.8,81.6,-1,51,6,1,0,2,54.9,1,0,0,1,Business Loan,2022871,60,43781,0.353,732,10.69,Conditionally Approved
BC00007,59,Female,Married,4,Higher Secondary,Punjab,Owned,Gig Worker,28,13009,20552,5.0,37,16538,70.5,84.7,-1,3,7,1,0,2,4.4,2,0,0,3,Home Loan,1990483,120,27194,3.243,732,9.62,Rejected
BC00008,39,Female,Single,2,Higher Secondary,Telangana,Company Provided,Business Owner,2,98456,211709,14.2,32,45790,88.1,93.2,1,98,6,1,1,3,34.1,3,2,0,2,Personal Loan,2961898,84,50404,0.614,762,10.94,Conditionally Approved
BC00009,43,Male,Married,1,Graduate,Maharashtra,Rented,Self-Employed,0,91872,191496,37.0,36,61836,39.9,73.2,1,0,5,1,0,2,36.8,2,3,1,2,Personal Loan,537335,84,9144,0.208,620,14.54,Under Review
BC00010,31,Male,Married,0,Higher Secondary,Maharashtra,Parental,Freelancer,0,96132,149779,3.7,35,100935,87.3,40.1,-1,131,8,1,0,2,3.4,2,2,2,3,Home Loan,3559163,120,48625,0.662,642,13.36,Rejected
BC00011,31,Female,Married,2,Higher Secondary,Tamil Nadu,Owned,Gig Worker,6,58443,63442,32.0,31,79594,82.8,94.3,-1,24,8,0,0,1,3.7,0,1,0,4,Personal Loan,3437951,84,58505,1.343,743,9.33,Rejected
BC00012,44,Male,Single,4,Graduate,Madhya Pradesh,Parental,Salaried,10,166706,176717,13.1,36,88988,78.8,47.5,-1,21,10,0,1,2,32.8,4,0,0,2,Education Loan,1311402,60,28382,0.23,760,10.33,Approved
BC00013,56,Male,Divorced,2,Graduate,Tamil Nadu,Owned,Salaried,1,160870,43010,4.1,30,189416,56.5,80.4,-1,11,12,1,0,2,53.6,0,0,0,5,Education Loan,3925251,60,84953,0.683,685,12.21,Under Review
BC00014,60,Female,Divorced,0,Graduate,Karnataka,Rented,Salaried,0,47420,128457,44.8,43,29627,91.8,77.1,-1,0,6,0,0,1,45.5,2,0,0,0,Vehicle Loan,3890507,240,39629,0.836,752,11.07,Rejected
BC00015,44,Male,Married,1,Higher Secondary,Telangana,Rented,Business Owner,0,152239,354906,37.3,32,192811,94.8,77.1,0,12,7,1,1,3,55.0,3,0,0,1,Personal Loan,1416851,180,15926,0.137,756,11.05,Approved
BC00016,23,Male,Married,0,Graduate,Rajasthan,Parental,Salaried,8,54300,103588,17.4,43,60823,68.2,51.6,-1,4,5,0,0,1,38.1,2,4,0,2,Home Loan,2629082,48,67695,1.431,595,22.08,Rejected
BC00017,42,Male,Married,3,Graduate,Madhya Pradesh,Owned,Self-Employed,1,124200,155081,8.4,33,115194,90.8,91.8,1,43,0,1,0,1,40.7,0,1,0,5,Education Loan,2176028,48,56029,0.652,691,14.65,Under Review
BC00018,22,Other,Married,1,Secondary,Gujarat,Owned,Gig Worker,2,18635,33341,8.0,32,20123,86.1,93.5,-1,15,0,1,1,2,37.4,2,2,0,5,Home Loan,3035032,60,65687,4.866,666,15.22,Rejected
BC00019,44,Male,Single,2,Graduate,Delhi,Parental,Freelancer,3,131506,198148,8.4,41,177761,94.4,82.9,-1,58,5,1,1,3,18.7,1,0,0,2,Credit Card,3127195,36,102084,0.852,816,7.75,Rejected
BC00020,64,Other,Married,0,Below Secondary,Tamil Nadu,Owned,Salaried,9,181193,162061,13.8,34,138379,97.7,64.6,-1,9,1,0,1,1,39.3,0,1,0,4,Personal Loan,2376344,180,26712,0.258,725,11.98,Conditionally Approved
BC00021,50,Male,Single,0,Graduate,Telangana,Owned,Gig Worker,5,51804,50035,28.6,42,63361,80.7,86.7,-1,92,13,1,0,2,7.6,1,2,1,0,Personal Loan,3507100,120,47914,0.925,696,15.24,Rejected
BC00022,58,Male,Married,2,Post Graduate,Rajasthan,Rented,Salaried,4,62487,164715,6.4,41,30662,88.2,82.5,-1,29,7,0,1,2,27.7,2,0,0,1,Credit Card,2399465,60,51931,0.911,811,7.62,Rejected
BC00023,22,Female,Widowed,3,Post Graduate,Delhi,Owned,Gig Worker,0,44152,85709,11.2,33,50396,91.5,51.7,-1,4,0,1,1,2,27.6,1,0,0,2,Home Loan,1126837,36,36785,1.06,800,8.17,Rejected
BC00024,41,Male,Married,1,Graduate,Madhya Pradesh,Owned,Salaried,3,46223,4813,5.7,38,55504,96.3,57.8,-1,20,12,1,0,2,31.9,0,1,0,1,Vehicle Loan,3149449,60,68163,1.583,700,10.54,Rejected
BC00025,53,Male,Married,1,Graduate,Kerala,Rented,Salaried,6,97930,102624,19.1,32,81438,90.2,53.5,-1,9,1,0,1,1,35.2,0,1,0,3,Vehicle Loan,3160999,36,103188,1.207,712,11.37,Rejected
BC00026,32,Male,Single,2,Higher Secondary,Punjab,Owned,Gig Worker,18,27653,30027,17.7,38,34631,59.2,75.5,-1,8,7,1,1,3,13.4,2,5,0,5,Home Loan,1587746,60,34363,2.147,611,16.0,Rejected
BC00027,42,Female,Single,2,Higher Secondary,Gujarat,Rented,Salaried,1,53380,114680,3.2,52,51700,95.2,78.0,-1,28,11,1,1,3,16.7,2,0,0,5,Personal Loan,1679040,12,148240,3.245,787,10.08,Rejected
BC00028,64,Male,Single,2,Secondary,Punjab,Rented,Salaried,0,51035,108772,18.2,32,72650,74.3,65.7,-1,44,5,1,1,3,65.3,1,0,0,2,Business Loan,2461596,84,41890,1.017,745,9.06,Rejected
BC00029,45,Female,Divorced,0,Graduate,West Bengal,Parental,Business Owner,0,149441,216099,19.3,25,65001,92.7,50.0,1,97,11,1,1,3,48.1,0,0,0,2,Business Loan,2289564,48,58953,0.461,814,7.75,Approved
BC00030,47,Female,Married,2,Graduate,Gujarat,Parental,Business Owner,2,208175,594931,38.5,30,95133,60.5,71.6,1,27,9,1,1,3,58.0,2,0,0,3,Home Loan,3713289,48,95612,0.531,729,11.13,Conditionally Approved
BC00031,62,Male,Married,3,Graduate,Karnataka,Owned,Business Owner,8,299877,788516,33.0,33,393113,98.3,97.4,1,135,1,0,1,1,41.4,0,1,0,4,Credit Card,4238699,180,47646,0.226,781,10.19,Approved
BC00032,48,Male,Divorced,3,Graduate,Delhi,Parental,Business Owner,0,479404,1252209,3.5,38,628419,86.4,89.0,1,113,1,1,0,1,14.2,3,0,0,2,Home Loan,2966596,24,137991,0.309,816,7.76,Approved
BC00033,36,Female,Married,2,Higher Secondary,Karnataka,Parental,Self-Employed,3,25278,28058,20.1,37,21877,90.2,71.0,1,80,10,1,1,3,41.8,2,4,0,5,Home Loan,4177436,48,107563,5.244,621,14.29,Rejected
BC00034,35,Female,Married,4,Graduate,Delhi,Rented,Salaried,1,188856,254937,27.7,33,275117,94.5,83.6,-1,27,13,0,0,1,33.6,2,2,0,1,Personal Loan,2515933,24,117029,0.646,746,10.97,Conditionally Approved
BC00035,64,Female,Single,0,Secondary,Delhi,Company Provided,Salaried,0,28191,37071,28.6,41,31440,53.7,81.0,-1,6,6,1,0,2,44.5,3,0,0,0,Home Loan,4916940,12,434109,15.399,732,10.48,Rejected
BC00036,23,Male,Single,2,Higher Secondary,Delhi,Owned,Salaried,2,189232,260530,13.3,32,279954,61.2,53.3,-1,9,4,1,1,3,58.6,1,0,3,1,Home Loan,3512511,36,114663,0.632,586,21.67,Rejected
BC00037,57,Male,Married,2,Higher Secondary,Punjab,Parental,Freelancer,1,77943,208787,7.8,31,73179,45.3,83.6,-1,41,4,1,1,3,31.9,1,0,0,4,Credit Card,434083,180,4879,0.319,739,9.65,Conditionally Approved
BC00038,27,Female,Married,0,Higher Secondary,Kerala,Rented,Self-Employed,2,110667,91018,7.9,37,59974,96.1,59.6,0,21,7,0,0,1,38.1,0,2,0,0,Personal Loan,581598,84,9897,0.089,731,11.53,Conditionally Approved
BC00039,41,Female,Married,4,Graduate,Delhi,Owned,Self-Employed,6,69318,168191,29.9,27,57761,84.8,83.5,1,6,11,0,0,1,28.8,0,0,1,1,Home Loan,2328845,120,31817,0.531,759,9.47,Conditionally Approved
BC00040,29,Female,Married,1,Higher Secondary,Rajasthan,Rented,Self-Employed,3,118423,188377,14.4,39,174862,78.6,68.3,0,26,11,0,0,1,31.6,1,0,0,1,Home Loan,716252,24,33316,0.324,717,9.99,Conditionally Approved
BC00041,59,Male,Divorced,1,Graduate,Gujarat,Rented,Freelancer,0,118998,97857,1.3,34,88594,84.2,89.2,-1,0,6,1,1,3,72.5,2,0,0,3,Business Loan,3100798,84,52768,0.569,698,14.57,Conditionally Approved
BC00042,38,Female,Married,1,Graduate,Madhya Pradesh,Owned,Salaried,16,115353,187928,37.1,35,167080,93.1,83.8,-1,52,11,1,0,2,48.7,2,1,0,4,Education Loan,2586047,180,29069,0.425,739,11.21,Conditionally Approved
BC00043,24,Male,Married,1,Graduate,Kerala,Owned,Self-Employed,5,36869,24584,23.1,33,46323,82.9,57.0,1,3,13,0,1,2,54.1,1,0,0,5,Personal Loan,3374353,180,37930,1.707,676,12.16,Rejected
BC00044,45,Male,Single,2,Post Graduate,Punjab,Rented,Self-Employed,7,20039,8291,25.8,38,16643,79.1,47.8,1,39,8,0,1,2,12.3,0,1,0,3,Home Loan,3304992,48,85099,4.995,770,11.84,Rejected
BC00045,34,Female,Single,1,Graduate,Gujarat,Rented,Business Owner,0,365031,923789,16.4,33,346869,87.8,90.8,1,63,3,1,1,3,56.1,3,4,0,0,Home Loan,4847663,84,82495,0.226,646,13.26,Under Review
BC00046,29,Female,Single,0,Graduate,Maharashtra,Rented,Salaried,0,152734,325023,12.9,31,157152,76.6,62.2,-1,5,9,0,0,1,19.2,0,0,1,5,Home Loan,746362,60,16153,0.269,702,9.65,Conditionally Approved
BC00047,46,Male,Married,3,Post Graduate,Rajasthan,Rented,Freelancer,0,88788,61658,4.7,32,97571,61.9,85.2,-1,29,3,0,0,1,6.0,0,0,0,3,Home Loan,4511835,240,45958,0.687,795,11.18,Under Review
