Txn Date,Value Date,Description,Ref No./Cheque No.,Debit,Credit,Balance
01/11/2025,01/11/2025,UPI/RAJU-VENDOR/522492,REF000001,,"1,968.00","16,968.00"
03/11/2025,03/11/2025,UPI/RAJU-VENDOR/117784,REF000002,,"1,326.00","18,294.00"
04/11/2025,04/11/2025,UPI/RAJU-VENDOR/206718,REF000003,,"1,816.00","20,110.00"
04/11/2025,04/11/2025,UPI/TO/FUEL STATION,REF000004,284.00,,"19,826.00"
05/11/2025,05/11/2025,UPI/RAJU-VENDOR/530152,REF000005,,"1,375.00","21,201.00"
06/11/2025,06/11/2025,UPI/RAJU-VENDOR/536149,REF000006,,"1,138.00","22,339.00"
06/11/2025,06/11/2025,UPI/TO/MEDPLUS,REF000007,755.00,,"21,584.00"
07/11/2025,07/11/2025,UPI/RAJU-VENDOR/439760,REF000008,,"2,043.00","23,627.00"
08/11/2025,08/11/2025,UPI/RAJU-VENDOR/971523,REF000009,,"2,148.00","25,775.00"
08/11/2025,08/11/2025,UPI/TO/UDUPI CAFE,REF000010,243.00,,"25,532.00"
09/11/2025,09/11/2025,BILLPAY/TATA POWER,REF000011,"1,288.00",,"43,428.00"
10/11/2025,10/11/2025,UPI/RAJU-VENDOR/766781,REF000012,,"1,840.00","27,372.00"
10/11/2025,10/11/2025,UPI/TO/FUEL STATION,REF000013,544.00,,"26,828.00"
11/11/2025,11/11/2025,UPI/RAJU-VENDOR/954089,REF000014,,"1,398.00","28,226.00"
12/11/2025,12/11/2025,UPI/RAJU-VENDOR/630319,REF000015,,"1,058.00","29,284.00"
12/11/2025,12/11/2025,UPI/TO/KIRANA,REF000016,430.00,,"28,854.00"
13/11/2025,13/11/2025,UPI/RAJU-VENDOR/334966,REF000017,,835.00,"29,689.00"
14/11/2025,14/11/2025,UPI/RAJU-VENDOR/123932,REF000018,,"2,193.00","31,882.00"
14/11/2025,14/11/2025,UPI/TO/D-MART,REF000019,833.00,,"31,049.00"
15/11/2025,15/11/2025,UPI/RAJU-VENDOR/385471,REF000020,,"2,097.00","33,146.00"
17/11/2025,17/11/2025,UPI/RAJU-VENDOR/431156,REF000021,,796.00,"33,942.00"
18/11/2025,18/11/2025,UPI/RAJU-VENDOR/616558,REF000022,,"2,100.00","36,042.00"
18/11/2025,18/11/2025,UPI/TO/KIRANA,REF000023,358.00,,"35,684.00"
19/11/2025,19/11/2025,UPI/RAJU-VENDOR/126544,REF000024,,898.00,"36,582.00"
20/11/2025,20/11/2025,UPI/RAJU-VENDOR/576331,REF000025,,"1,097.00","37,679.00"
20/11/2025,20/11/2025,UPI/TO/UDUPI CAFE,REF000026,391.00,,"37,288.00"
21/11/2025,21/11/2025,UPI/RAJU-VENDOR/966867,REF000027,,963.00,"38,251.00"
22/11/2025,22/11/2025,UPI/RAJU-VENDOR/461185,REF000028,,"2,031.00","40,282.00"
22/11/2025,22/11/2025,UPI/TO/PHARMA,REF000029,377.00,,"39,905.00"
24/11/2025,24/11/2025,UPI/RAJU-VENDOR/456276,REF000030,,"1,059.00","40,964.00"
24/11/2025,24/11/2025,UPI/TO/MEDPLUS,REF000031,810.00,,"40,154.00"
